Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604389925671,2020-11-03,07:52:05.671,57729,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604389933701,2020-11-03,07:52:13.701,57737,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604389935685,2020-11-03,07:52:15.685,57739,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604389973701,2020-11-03,07:52:53.701,57777,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604389991671,2020-11-03,07:53:11.671,57795,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390001687,2020-11-03,07:53:21.687,57805,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390008671,2020-11-03,07:53:28.671,57812,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390016685,2020-11-03,07:53:36.685,57820,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390057700,2020-11-03,07:54:17.700,57861,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390069686,2020-11-03,07:54:29.686,57873,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390072701,2020-11-03,07:54:32.701,57876,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390087687,2020-11-03,07:54:47.687,57891,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390104672,2020-11-03,07:55:04.672,57908,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390129704,2020-11-03,07:55:29.704,57933,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390132688,2020-11-03,07:55:32.688,57936,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390155685,2020-11-03,07:55:55.685,57959,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390158684,2020-11-03,07:55:58.684,57962,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390192672,2020-11-03,07:56:32.672,57996,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390199687,2020-11-03,07:56:39.687,58003,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390266687,2020-11-03,07:57:46.687,58070,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390267672,2020-11-03,07:57:47.672,58071,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390482708,2020-11-03,08:01:22.708,58286,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604390489692,2020-11-03,08:01:29.692,58293,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604390611693,2020-11-03,08:03:31.693,58415,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
